subregion1_code,date,type,new_confirmed_pred
MD,2021-11-05,prediction,3553.489
MD,2021-11-06,forecast,3551.365
MD,2021-11-07,forecast,3553.704
MD,2021-11-08,forecast,3558.317
MD,2021-11-09,forecast,3554.873
MD,2021-11-10,forecast,3536.692
MD,2021-11-11,forecast,3559.969
MD,2021-11-12,forecast,3559.477
MD,2021-11-13,forecast,3560.645
MD,2021-11-14,forecast,3558.338
MD,2021-11-15,forecast,3559.87
MD,2021-11-16,forecast,3559.537
MD,2021-11-17,forecast,3550.894
MD,2021-11-18,forecast,3561.823
MD,2021-11-19,forecast,3557.987
MD,2021-11-20,forecast,3558.317
MD,2021-11-21,forecast,3555.359
MD,2021-11-22,forecast,3566.95
MD,2021-11-23,forecast,3557.619
MD,2021-11-24,forecast,3552.89
MD,2021-11-25,forecast,3554.607
MD,2021-11-26,forecast,3553.939
MD,2021-11-27,forecast,3553.489
MD,2021-11-28,forecast,3551.161
MD,2021-11-29,forecast,3553.935
MD,2021-11-30,forecast,3532.368
MD,2021-12-01,forecast,3557.831
MD,2021-12-02,forecast,3536.436
MD,2021-12-03,forecast,3560.32
ME,2021-10-16,prediction,620.2055999999997
ME,2021-10-17,prediction,618.6483999999997
ME,2021-10-18,prediction,620.3939999999996
ME,2021-10-19,prediction,571.7281999999997
ME,2021-10-20,prediction,574.5795999999998
ME,2021-10-21,prediction,573.8523999999998
ME,2021-10-22,prediction,576.7435999999998
ME,2021-10-23,prediction,575.7109999999998
ME,2021-10-24,prediction,573.2207999999998
ME,2021-10-25,prediction,576.7735999999998
ME,2021-10-26,prediction,574.4875999999997
ME,2021-10-27,prediction,575.8187999999997
ME,2021-10-28,prediction,582.0901999999996
ME,2021-10-29,prediction,590.6911999999998
ME,2021-10-30,prediction,584.5323999999998
ME,2021-10-31,prediction,579.3751999999998
ME,2021-11-01,prediction,570.4815999999996
ME,2021-11-02,prediction,572.4027999999998
ME,2021-11-03,prediction,625.0543999999995
ME,2021-11-04,prediction,625.7491999999995
ME,2021-11-05,prediction,624.8575999999996
ME,2021-11-06,forecast,625.3579999999995
ME,2021-11-07,forecast,624.8995999999995
ME,2021-11-08,forecast,626.7405999999995
ME,2021-11-09,forecast,627.9955999999995
ME,2021-11-10,forecast,627.9629999999995
ME,2021-11-11,forecast,636.8485999999996
ME,2021-11-12,forecast,583.4067999999997
ME,2021-11-13,forecast,575.3105999999998
ME,2021-11-14,forecast,574.2055999999998
ME,2021-11-15,forecast,630.6615999999996
ME,2021-11-16,forecast,631.7841999999996
ME,2021-11-17,forecast,631.5807999999996
ME,2021-11-18,forecast,637.2377999999995
ME,2021-11-19,forecast,629.8815999999994
ME,2021-11-20,forecast,582.8091999999997
ME,2021-11-21,forecast,633.0383999999996
ME,2021-11-22,forecast,628.3991999999995
ME,2021-11-23,forecast,644.9463999999994
ME,2021-11-24,forecast,628.4435999999996
ME,2021-11-25,forecast,630.6965999999995
ME,2021-11-26,forecast,626.4371999999995
ME,2021-11-27,forecast,627.5777999999996
ME,2021-11-28,forecast,627.4691999999994
ME,2021-11-29,forecast,631.6873999999995
ME,2021-11-30,forecast,628.0521999999995
ME,2021-12-01,forecast,630.7307999999996
ME,2021-12-02,forecast,631.1957999999995
ME,2021-12-03,forecast,642.4561999999995
MI,2021-10-16,prediction,5049.821200000001
MI,2021-10-17,prediction,4807.1392000000005
MI,2021-10-18,prediction,5121.849400000001
MI,2021-10-19,prediction,4838.959400000002
MI,2021-10-20,prediction,4622.9404
MI,2021-10-21,prediction,4558.560600000002
MI,2021-10-22,prediction,4679.515000000001
MI,2021-10-23,prediction,4662.995000000001
MI,2021-10-24,prediction,5234.779400000001
MI,2021-10-25,prediction,4614.514800000001
MI,2021-10-26,prediction,4852.846200000001
MI,2021-10-27,prediction,5281.913600000001
MI,2021-10-28,prediction,4828.803000000001
MI,2021-10-29,prediction,4774.737800000001
MI,2021-10-30,prediction,4701.9274000000005
MI,2021-10-31,prediction,5279.5006
MI,2021-11-01,prediction,4847.228200000001
MI,2021-11-02,prediction,5265.6796
MI,2021-11-03,prediction,5212.123600000001
MI,2021-11-04,prediction,4942.599000000001
MI,2021-11-05,prediction,4946.584400000002
MI,2021-11-06,forecast,5086.198400000001
MI,2021-11-07,forecast,5228.536000000001
MI,2021-11-08,forecast,4869.811000000001
MI,2021-11-09,forecast,4540.222400000001
MI,2021-11-10,forecast,4719.703
MI,2021-11-11,forecast,4679.994
MI,2021-11-12,forecast,4700.2624000000005
MI,2021-11-13,forecast,4635.387000000001
MI,2021-11-14,forecast,4668.694800000001
MI,2021-11-15,forecast,5257.996800000001
MI,2021-11-16,forecast,4646.690600000002
MI,2021-11-17,forecast,4898.986200000001
MI,2021-11-18,forecast,5163.3446
MI,2021-11-19,forecast,4783.9588
MI,2021-11-20,forecast,4824.3242
MI,2021-11-21,forecast,4673.833200000001
MI,2021-11-22,forecast,5440.7156
MI,2021-11-23,forecast,5293.754000000001
MI,2021-11-24,forecast,4900.913000000001
MI,2021-11-25,forecast,5148.492000000001
MI,2021-11-26,forecast,5139.420000000001
MI,2021-11-27,forecast,4800.068800000001
MI,2021-11-28,forecast,5076.611400000002
MI,2021-11-29,forecast,5281.030600000001
MI,2021-11-30,forecast,4841.596400000001
